Codes_Insee;Communes;RATIO_2A_FREQ_CRECHE;ENF_MOINS_3;ENF_3_6;CRECHE_PL_DISPO;NB_CRECHE;NB_SAGE;NB_PHARMA;NB_MATERNELLE;NB_ECOLE_ELEM;POP;LATITUDE;LONGITUDE
1246;MEZERIAT;1;5;92;0;0;0;1;1;1;2,1;46.242440843309701;5.047801682725160
1247;MIJOUX;1;0;9;0;0;0;0;0;1;0,4;46.361413311961599;6.007854950944660
1248;MIONNAY;1;0;81;0;0;0;1;0;1;2,1;45.895943946001900;4.924361528863790
1249;MIRIBEL;0,176470588;18;381;102;3;0;3;1;5;9;45.844700120200798;4.940830630133410
1250;MISERIEUX;1;0;70;0;0;0;1;0;1;1,7;45.976385200000600;4.810737323685740
1252;MOGNENEINS;1;0;44;0;0;0;0;0;0;0,7;46.144539513354900;4.820737317443430
1254;MONTAGNAT;1;0;49;0;0;0;0;0;1;1,6;46.168522875812997;5.279191486921300
1255;MONTAGNIEU;1;0;23;0;0;0;0;0;1;0,5;45.799740275099602;5.464513361401570
1257;MONTANGES;1;0;6;0;0;0;0;0;1;0,3;46.173268333509498;5.790071760635530
1258;MONTCEAUX;0;0;67;42;1;0;0;0;1;1,1;46.096177682175302;4.803740278726690
1259;MONTCET;1;0;24;0;0;0;0;0;0;0,7;46.219732033812001;5.111275266502250
1260;LE MONTELLIER;1;0;10;0;0;0;0;0;0;0,2;45.928778290261597;5.071395876996700
1261;MONTHIEUX;1;0;22;0;0;0;0;0;1;0,6;45.962475026755399;4.945827380499130
1262;MONTLUEL;0,434782609;20;381;46;2;2;2;1;3;6,9;45.891197030628497;5.019636905708470
1263;MONTMERLE-SUR-SAONE;1;0;174;0;0;0;1;1;2;3,8;46.085347117601202;4.760516536992630
1264;MONTRACOL;1;0;40;0;0;0;0;0;0;1;46.186628490266202;5.117168758017450
1265;MONTREAL-LA-CLUSE;0,333333333;6;149;18;1;1;2;2;1;3,5;46.179435423626501;5.594989819485150
1266;MONTREVEL-EN-BRESSE;0;0;74;36;1;1;2;1;1;2,4;46.324985043960297;5.112492236185330
1267;NURIEUX-VOLOGNAT;1;0;44;0;0;0;0;0;1;1,1;46.183427033620497;5.514592290718290
1268;MURS-ET-GELIGNIEUX;1;0;5;0;0;0;0;0;0;0,2;45.642324736511299;5.660866604081280
1269;NANTUA;0;0;169;15;1;0;2;1;2;3,6;46.154322939039403;5.613217820092600
1271;NATTAGES;1;0;27;0;0;0;0;0;0;0,6;45.724045329756500;5.749501000326080
1272;NEUVILLE-LES-DAMES;0;0;51;20;1;0;1;0;1;1,5;46.156774224601300;5.009164313905600
1273;NEUVILLE-SUR-AIN;1;0;76;0;0;0;0;0;1;1,5;46.090992336513303;5.374257306696540
1274;LES NEYROLLES;1;0;28;0;0;0;0;0;1;0,7;46.135186705090398;5.637561037440560
1275;NEYRON;1;0;93;0;0;0;1;0;1;2,5;45.818823795871602;4.930839780932180
1276;NIEVROZ;1;0;52;0;0;0;0;0;1;1,5;45.822371657628999;5.059429737431940
1277;NIVOLLET-MONTGRIFFON;1;0;0;0;0;0;0;0;0;0,1;45.999877027891898;5.458575952585090
1279;ONCIEU;1;0;0;0;0;0;0;0;0;0,1;45.965157292249103;5.471450071755830
1280;ORDONNAZ;1;0;8;0;0;0;0;0;0;0,1;45.833801801314301;5.540064669997650
1281;ORNEX;1;0;80;0;0;0;1;0;1;3,3;46.277346243780499;6.094088678297510
1282;OUTRIAZ;1;0;9;0;0;0;0;0;0;0,3;46.067407475957502;5.556924323549980
1283;OYONNAX;1,101449275;76;1091;69;3;1;1;1;1;22,9;46.261222011210599;5.652535965877290
1284;OZAN;1;0;31;0;0;0;0;0;0;0,6;46.387290134479798;4.917688172158680
1285;PARCIEUX;1;0;43;0;0;0;0;0;1;1,1;45.918553863663199;4.828051009414160
